"Sexo" "Pulsaciones" "Temperatura"
"M" 69 36.1
"M" 72 37.1
"M" 68 35.7
"F" 75 36.6
"F" 68 37.1
"M" 79 38.5
"F" 71 36.6
"F" 73 36.3
"F" 77 37.3
"M" 81 37.3
"M" 69 36.4
"F" 70 36.5
"F" 71 36.8
"F" 74 37.1
"F" 79 36.9
"M" 73 36.3
"F" 71 37.2
"M" 77 37
"F" 70 37.3
"F" 69 36.6
"F" 67 36.2
"F" 67 36.1
"F" 74 37.2
"M" 77 37.2
"F" 76 36.6
"M" 79 36.7
"M" 76 36.1
"M" 61 36.4
"M" 84 37.2
"F" 67 36.6
"F" 73 36.6
"F" 81 37.8
"M" 68 36.2
"M" 76 37.2
"M" 80 37
"F" 68 36.5
"F" 70 36.8
"M" 79 37.2
"F" 76 37.4
"F" 75 37
"M" 73 36.2
"M" 72 36.7
"F" 77 37.4
"M" 81 37.4
"M" 73 37.1
"M" 64 36.9
"F" 69 36.9
"F" 80 37
"F" 80 36.1
"F" 67 36.8
"M" 78 37.6
"F" 73 37.2
"M" 77 36.3
"M" 66 35.8
"F" 71 36.8
"F" 78 37.4
"F" 69 36.8
"M" 72 36.6
"F" 73 36.8
"F" 73 36.3
"F" 72 36.8
"M" 75 36.8
"M" 75 36.7
"F" 68 37.1
"M" 82 37.1
"M" 67 36.5
"F" 75 36
"M" 78 36.8
"M" 72 36.5
"M" 80 37.3
"F" 67 36.6
"F" 80 36.8
"M" 74 37.1
"M" 78 36.3
"M" 87 36.1
"M" 74 36.7
"F" 71 36.8
"M" 69 36.9
"F" 87 38.2
"M" 81 37.9
"M" 75 36.1
"F" 83 37.3
"F" 78 37.7
"M" 70 37.2
"F" 76 37.1
"M" 78 38.1
"M" 75 36.7
"M" 75 36.9
"F" 70 36.2
"M" 72 36.1
"F" 79 37.1
"F" 78 37.7
"M" 67 36.1
"M" 63 37
"F" 69 36.9
"M" 69 36.6
"F" 69 37.6
"F" 79 37.1
"F" 71 37.3
"M" 62 36.3
"M" 70 35.7
"M" 71 35.9
"M" 74 36.1
"M" 80 36.1
"M" 73 36.2
"M" 75 36.2
"M" 82 36.2
"M" 64 36.2
"M" 69 36.3
"M" 70 36.3
"M" 68 36.3
"M" 72 36.3
"M" 78 36.3
"M" 70 36.4
"M" 75 36.4
"M" 74 36.4
"M" 69 36.4
"M" 73 36.4
"M" 77 36.5
"M" 58 36.6
"M" 73 36.6
"M" 65 36.6
"M" 74 36.6
"M" 76 36.6
"M" 72 36.6
"M" 78 36.7
"M" 71 36.7
"M" 74 36.7
"M" 67 36.7
"M" 64 36.7
"M" 78 36.7
"M" 73 36.7
"M" 67 36.7
"M" 66 36.8
"M" 64 36.8
"M" 71 36.8
"M" 72 36.8
"M" 86 36.8
"M" 72 36.8
"M" 68 36.9
"M" 70 36.9
"M" 82 36.9
"M" 84 36.9
"M" 68 36.9
"M" 71 36.9
"M" 77 37
"M" 78 37
"M" 83 37
"M" 66 37
"M" 70 37
"M" 82 37
"M" 73 37.1
"M" 78 37.1
"M" 78 37.1
"M" 81 37.1
"M" 78 37.1
"M" 80 37.2
"M" 75 37.2
"M" 79 37.2
"M" 81 37.2
"M" 71 37.3
"M" 83 37.3
"M" 63 37.4
"M" 70 37.4
"M" 75 37.5
"F" 69 35.8
"F" 62 35.9
"F" 75 36
"F" 66 36.2
"F" 68 36.2
"F" 57 36.3
"F" 61 36.4
"F" 84 36.5
"F" 61 36.5
"F" 77 36.6
"F" 62 36.6
"F" 71 36.6
"F" 68 36.6
"F" 69 36.6
"F" 79 36.6
"F" 76 36.7
"F" 87 36.7
"F" 78 36.7
"F" 73 36.7
"F" 89 36.7
"F" 81 36.7
"F" 73 36.8
"F" 64 36.8
"F" 65 36.8
"F" 73 36.8
"F" 69 36.8
"F" 57 36.8
"F" 79 36.8
"F" 78 36.8
"F" 80 36.8
"F" 79 36.9
"F" 81 36.9
"F" 73 36.9
"F" 74 36.9
"F" 84 36.9
"F" 83 36.9
"F" 82 37
"F" 85 37
"F" 86 37
"F" 77 37
"F" 72 37.1
"F" 79 37.1
"F" 59 37.1
"F" 64 37.1
"F" 65 37.1
"F" 82 37.1
"F" 64 37.1
"F" 70 37.1
"F" 83 37.1
"F" 89 37.1
"F" 69 37.1
"F" 73 37.1
"F" 84 37.1
"F" 76 37.2
"F" 79 37.2
"F" 81 37.2
"F" 80 37.3
"F" 74 37.3
"F" 77 37.3
"F" 66 37.3
"F" 68 37.4
"F" 77 37.4
"F" 79 37.7
"F" 78 37.8
"F" 77 38.2
