"Edad (años)","Talla (cm)","Grupo sanguíneo","Rh"
19,175,"A","Negativo"
34,170,"A","Positivo"
33,162,"O","Positivo"
23,167,"A","Positivo"
38,172,"O","Positivo"
29,162,"O","Positivo"
32,162,"O","Positivo"
41,159,"A","Positivo"
32,160,"A","Positivo"
26,165,"A","Negativo"
36,156,"A","Positivo"
37,166,"B","Positivo"
30,168,"O","Positivo"
40,158,"O","Positivo"
28,158,"O","Positivo"
34,160,"A","Positivo"
35,161,"A","Positivo"
30,169,"B","Positivo"
25,163,"AB","Positivo"
31,160,"A","Positivo"
27,165,"AB","Positivo"
33,162,"O","Positivo"
33,160,"O","Positivo"
25,162,"B","Positivo"
37,169,"O","Positivo"
37,160,"B","Positivo"
25,164,"A","Negativo"
37,161,"B","Positivo"
23,164,"A","Positivo"
29,162,"O","Positivo"
38,178,"O","Positivo"
29,168,"A","Positivo"
36,172,"O","Positivo"
27,162,"O","Positivo"
29,156,"O","Positivo"
25,151,"O","Positivo"
28,167,"O","Negativo"
34,153,"B","Positivo"
33,161,"O","Negativo"
27,167,"O","Positivo"
38,165,"A","Positivo"
34,170,"A","Negativo"
26,154,"A","Positivo"
25,165,"A","Negativo"
35,162,"O","Positivo"
35,171,"A","Negativo"
32,165,"O","Positivo"
37,159,"A","Positivo"
30,165,"A","Positivo"
29,167,"B","Positivo"
31,164,"O","Positivo"
33,174,"A","Positivo"
25,163,"A","Positivo"
35,158,"A","Positivo"
27,169,"B","Positivo"
36,157,"A","Positivo"
36,168,"O","Negativo"
35,166,"O","Positivo"
23,152,"A","Positivo"
29,166,"O","Positivo"
33,174,"O","Positivo"
27,154,"B","Positivo"
29,159,"O","Positivo"
33,156,"O","Positivo"
30,168,"O","Positivo"
34,156,"A","Positivo"
37,167,"AB","Positivo"
40,152,"A","Positivo"
25,164,"A","Negativo"
27,164,"O","Positivo"
31,165,"O","Positivo"
37,163,"A","Positivo"
34,160,"AB","Positivo"
25,167,"O","Positivo"
39,161,"A","Positivo"
30,160,"A","Positivo"
33,165,"A","Positivo"
25,163,"A","Positivo"
35,154,"A","Positivo"
36,165,"O","Positivo"
42,161,"B","Negativo"
36,169,"A","Positivo"
31,163,"B","Positivo"
34,160,"A","Positivo"
29,167,"B","Positivo"
34,169,"O","Positivo"
40,173,"A","Positivo"
32,166,"A","Positivo"
35,167,"A","Positivo"
30,154,"O","Positivo"
19,162,"O","Positivo"
36,170,"A","Positivo"
26,158,"A","Positivo"
34,158,"O","Positivo"
33,164,"O","Positivo"
40,160,"AB","Positivo"
29,162,"O","Positivo"
31,165,"O","Positivo"
40,164,"B","Positivo"
37,163,"A","Positivo"
31,159,"B","Positivo"
21,170,"B","Positivo"
31,157,"A","Negativo"
37,166,"O","Positivo"
32,150,"A","Positivo"
39,177,"A","Positivo"
30,160,"O","Negativo"
28,166,"O","Positivo"
29,157,"O","Positivo"
29,159,"O","Positivo"
34,165,"B","Positivo"
31,170,"A","Positivo"
33,164,"A","Positivo"
40,165,"B","Positivo"
32,157,"O","Positivo"
35,159,"O","Positivo"
31,163,"O","Positivo"
38,164,"A","Positivo"
33,172,"A","Positivo"
33,167,"A","Positivo"
39,150,"O","Negativo"
34,173,"O","Positivo"
37,160,"A","Positivo"
34,172,"O","Positivo"
28,166,"O","Positivo"
35,156,"A","Negativo"
28,155,"A","Positivo"
33,172,"O","Positivo"
29,161,"A","Positivo"
34,164,"B","Positivo"
27,162,"A","Positivo"
36,168,"B","Positivo"
36,157,"B","Positivo"
35,164,"A","Positivo"
34,154,"O","Negativo"
39,170,"A","Positivo"
28,168,"O","Positivo"
24,169,"O","Negativo"
30,151,"O","Positivo"
23,161,"B","Positivo"
36,160,"A","Positivo"
32,160,"AB","Positivo"
36,160,"O","Positivo"
48,158,"A","Positivo"
28,161,"A","Negativo"
30,163,"O","Positivo"
32,156,"A","Positivo"
31,157,"B","Positivo"
40,172,"O","Positivo"
37,164,"O","Positivo"
26,160,"A","Positivo"
25,163,"A","Positivo"
41,151,"O","Positivo"
33,150,"O","Positivo"
27,150,"O","Positivo"
30,150,"A","Positivo"
32,178,"O","Positivo"
21,179,"O","Negativo"
31,158,"O","Positivo"
32,163,"B","Positivo"
28,169,"A","Positivo"
19,156,"B","Positivo"
33,160,"O","Positivo"
38,160,"AB","Positivo"
40,172,"A","Positivo"
27,160,"A","Positivo"
33,169,"B","Positivo"
31,157,"B","Positivo"
27,160,"B","Positivo"
42,161,"A","Negativo"
31,161,"B","Positivo"
39,160,"A","Positivo"
35,163,"A","Positivo"
23,153,"A","Positivo"
38,160,"A","Positivo"
38,152,"O","Positivo"
33,164,"O","Positivo"
30,164,"A","Positivo"
36,163,"A","Positivo"
27,164,"A","Negativo"
37,164,"O","Positivo"
35,169,"B","Positivo"
27,162,"A","Positivo"
22,155,"O","Negativo"
35,164,"A","Positivo"
37,156,"B","Positivo"
38,166,"O","Negativo"
37,161,"O","Positivo"
45,153,"O","Positivo"
32,161,"A","Positivo"
37,168,"B","Positivo"
35,166,"A","Positivo"
42,157,"A","Positivo"
35,170,"A","Positivo"
34,156,"AB","Positivo"
35,167,"A","Positivo"
30,165,"B","Positivo"
34,165,"AB","Positivo"
37,166,"O","Positivo"
26,158,"A","Positivo"
39,154,"B","Positivo"
32,158,"AB","Positivo"
36,159,"O","Positivo"
32,160,"A","Positivo"
36,160,"A","Positivo"
23,160,"O","Positivo"
34,163,"A","Positivo"
25,169,"O","Positivo"
34,164,"A","Positivo"
32,168,"O","Positivo"
23,168,"A","Positivo"
34,166,"O","Positivo"
33,170,"A","Positivo"
