"sonrisa" "benevolencia"
sincera 7
sincera 3
sincera 6
sincera 4.5
sincera 3.5
sincera 4
sincera 3
sincera 3
sincera 3.5
sincera 4.5
sincera 7
sincera 5
sincera 5
sincera 7.5
sincera 2.5
sincera 5
sincera 5.5
sincera 5.5
sincera 5
sincera 4
sincera 5
sincera 6.5
sincera 6.5
sincera 7
sincera 3.5
sincera 5
sincera 3.5
sincera 9
sincera 2.5
sincera 8.5
sincera 3.5
sincera 4.5
sincera 3.5
sincera 4.5
falsa 2.5
falsa 5.5
falsa 6.5
falsa 3.5
falsa 3
falsa 3.5
falsa 6
falsa 5
falsa 4
falsa 4.5
falsa 5
falsa 5.5
falsa 3.5
falsa 6
falsa 6.5
falsa 3
falsa 8
falsa 6.5
falsa 8
falsa 6
falsa 6
falsa 3
falsa 7
falsa 8
falsa 4
falsa 3
falsa 2.5
falsa 8
falsa 4.5
falsa 5.5
falsa 7.5
falsa 6
falsa 9
falsa 6.5
compungida 5.5
compungida 4
compungida 4
compungida 5
compungida 6
compungida 3.5
compungida 3.5
compungida 3.5
compungida 4
compungida 5.5
compungida 5.5
compungida 4.5
compungida 2.5
compungida 5.5
compungida 4.5
compungida 3
compungida 3.5
compungida 8
compungida 5
compungida 7.5
compungida 8
compungida 4
compungida 5.5
compungida 6.5
compungida 5
compungida 4
compungida 3
compungida 5
compungida 4
compungida 4
compungida 6
compungida 8
compungida 4.5
compungida 5.5
neutra 2
neutra 4
neutra 4
neutra 3
neutra 6
neutra 4.5
neutra 2
neutra 6
neutra 3
neutra 3
neutra 4.5
neutra 8
neutra 4
neutra 5
neutra 3.5
neutra 4.5
neutra 6.5
neutra 3.5
neutra 4.5
neutra 4.5
neutra 2.5
neutra 2.5
neutra 4.5
neutra 2.5
neutra 6
neutra 6
neutra 2
neutra 4
neutra 5.5
neutra 4
neutra 2.5
neutra 2.5
neutra 3
neutra 6.5
